dataset,measurement,label,k,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,score
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression1_morphology0_morphology_image0.125_seq_jaccard_all0.125,0,False,623,4161,1.0,304.7862548828125,237.04473876953125,0.7777409084956037,215.50498962402344,107.94037628173828,483.5774230957031,297.9662170410156,0.3622570931911468,3650,4161,neighbor_union_v1,1,8,1,5,1.0,0.0,0.125,0.125,349.72908782958984
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.5_morphology0_morphology_image1_seq_jaccard_all0,0,False,623,1238,1.0,304.7862548828125,248.9300537109375,0.8167364824461943,181.513671875,119.73112487792967,463.18695068359375,297.9662170410156,0.4018278419971466,1039,1238,neighbor_union_v1,1,8,1,5,0.5,0.0,1.0,0.0,351.32460021972656
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.125_morphology0.125_morphology_image1_seq_jaccard_all0,0,False,623,6192,1.0,304.7862548828125,210.87083435058597,0.6918646460341981,197.5419769287109,122.73512268066406,457.71044921875,297.9662170410156,0.4119095206260681,4000,6192,neighbor_union_v1,1,8,1,5,0.125,0.125,1.0,0.0,351.59034729003906
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.25_morphology0.125_morphology_image1_seq_jaccard_all0.125,0,False,623,9030,1.0,304.7862548828125,191.3687896728516,0.6278786743399275,198.2943420410156,141.72132873535156,420.4209289550781,297.9662170410156,0.4756288528442383,6528,9030,neighbor_union_v1,1,8,1,5,0.25,0.125,1.0,0.125,351.9317932128906
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.5,0,False,623,3719,1.0,304.7862548828125,211.45335388183597,0.6937758855403037,191.2259826660156,148.39146423339844,407.3219604492188,297.9662170410156,0.4980143904685974,3281,3719,neighbor_union_v1,1,8,1,5,0.0,0.0,1.0,0.5,352.0524444580078
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0_morphology0.125_morphology_image1_seq_jaccard_all0.125,0,False,623,8598,1.0,304.7862548828125,201.445068359375,0.6609388223128001,199.5108795166016,130.3306427001953,443.8912963867188,297.9662170410156,0.4374007284641266,6169,8598,neighbor_union_v1,1,8,1,5,0.0,0.125,1.0,0.125,352.2762908935547
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0.5,0,False,623,4161,1.0,304.7862548828125,206.820068359375,0.678574132022113,190.88031005859372,151.97586059570312,400.8324890136719,297.9662170410156,0.5100439190864563,3650,4161,neighbor_union_v1,1,8,1,5,0.125,0.0,1.0,0.5,352.39210510253906
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0_morphology0.125_morphology_image1_seq_jaccard_all0,0,False,623,5589,1.0,304.7862548828125,219.53379821777344,0.7202877252525123,198.84161376953125,118.93673706054688,469.914306640625,297.9662170410156,0.3991618156433105,3470,5589,neighbor_union_v1,1,8,1,5,0.0,0.125,1.0,0.0,353.8938903808594
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0.5,0,False,623,4161,1.0,304.7862548828125,203.4378967285156,0.6674772679848558,191.0931701660156,155.61256408691406,397.4516296386719,297.9662170410156,0.5222490429878235,3650,4161,neighbor_union_v1,1,8,1,5,0.25,0.0,1.0,0.5,354.33837890625
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.25_morphology0.125_morphology_image1_seq_jaccard_all0.25,0,False,623,9030,1.0,304.7862548828125,182.5831756591797,0.5990531814808422,200.00721740722656,153.83526611328125,401.4577941894531,297.9662170410156,0.5162842273712158,6528,9030,neighbor_union_v1,1,8,1,5,0.25,0.125,1.0,0.25,354.5641632080078
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.5_morphology0_morphology_image1_seq_jaccard_all0.5,0,False,623,4161,1.0,304.7862548828125,199.50320434570312,0.6545675900719679,192.0944061279297,163.26736450195312,383.1338806152344,297.9662170410156,0.5479391813278198,3650,4161,neighbor_union_v1,1,8,1,5,0.5,0.0,1.0,0.5,354.8343048095703
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.125_morphology0.125_morphology_image1_seq_jaccard_all0.25,0,False,623,9030,1.0,304.7862548828125,185.45965576171875,0.6084908777563682,200.3522491455078,150.35630798339844,409.4898986816406,297.9662170410156,0.5046085715293884,6528,9030,neighbor_union_v1,1,8,1,5,0.125,0.125,1.0,0.25,355.10125732421875
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0_morphology0.125_morphology_image1_seq_jaccard_all0.25,0,False,623,8598,1.0,304.7862548828125,189.70559692382807,0.6224217591333578,201.1290435791016,146.03936767578125,420.4110107421875,297.9662170410156,0.4901205599308014,6169,8598,neighbor_union_v1,1,8,1,5,0.0,0.125,1.0,0.25,356.244873046875
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.5_morphology0.125_morphology_image1_seq_jaccard_all0,0,False,623,6192,1.0,304.7862548828125,197.67874145507807,0.6485815494897688,197.4046936035156,144.96014404296875,422.631103515625,297.9662170410156,0.4864985942840576,4000,6192,neighbor_union_v1,1,8,1,5,0.5,0.125,1.0,0.0,356.27569580078125
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression0.5_morphology0.125_morphology_image1_seq_jaccard_all0.125,0,False,623,9030,1.0,304.7862548828125,187.05035400390625,0.6137099393666076,198.4153594970703,156.1889190673828,407.5889587402344,297.9662170410156,0.5241833329200745,6528,9030,neighbor_union_v1,1,8,1,5,0.5,0.125,1.0,0.125,359.9833984375
tiny_human_ovary_multimodal_v4,learned_mix,learned_expression1_morphology0_morphology_image0.25_seq_jaccard_all0.125,0,False,623,4161,1.0,304.7862548828125,226.5779266357422,0.7433994250261033,208.17393493652344,136.21861267089844,448.6657409667969,297.9662170410156,0.4571612775325775,3650,4161,neighbor_union_v1,1,8,1,5,1.0,0.0,0.25,0.125,360.5514831542969
