dataset,measurement,label,k,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard,weight_seq_jaccard_all,weight_seq_blast,score
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0_seq_blast0.25,2,False,7275,11438,0.9961512027491409,393.8709411621094,318.1756286621094,0.8078169659415282,219.7146759033203,180.3740997314453,465.531982421875,354.80535888671875,0.508374810218811,0.25,0.0,1.0,0.25,0.0,0.25,413.1400909423828
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0_seq_blast0.25,3,False,7275,16918,0.9962886597938144,393.8709411621094,294.73199462890625,0.748295859956829,224.4618682861328,191.08123779296875,444.474609375,354.80535888671875,0.5385522842407227,0.25,0.0,1.0,0.25,0.0,0.25,413.31854248046875
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0_seq_blast0.125,3,False,7275,16935,0.9965635738831615,393.8709411621094,294.5733947753906,0.7478931903588951,225.1052703857422,190.1306915283203,446.8904113769531,354.80535888671875,0.5358732342720032,0.25,0.0,1.0,0.25,0.0,0.125,413.5758972167969
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0_seq_blast0,3,False,7275,16930,0.9965635738831615,393.8709411621094,294.47601318359375,0.7476459479715548,225.22328186035156,190.4014129638672,447.4202575683594,354.80535888671875,0.536636233329773,0.25,0.0,1.0,0.25,0.0,0.0,414.1115417480469
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.125_seq_blast0,3,False,7275,17019,0.9968384879725086,393.8709411621094,294.3902282714844,0.7474281484257029,224.49362182617188,190.4014129638672,450.0277404785156,354.80535888671875,0.536636233329773,0.25,0.0,1.0,0.25,0.125,0.0,415.415283203125
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.125_seq_blast0.25,3,False,7275,17002,0.9964261168384879,393.8709411621094,294.397705078125,0.7474471313103467,224.75433349609375,190.8719940185547,449.1432189941406,354.80535888671875,0.5379625558853149,0.25,0.0,1.0,0.25,0.125,0.25,415.443603515625
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0_seq_blast0.125,2,False,7275,11453,0.9961512027491409,393.8709411621094,317.70050048828125,0.8066106617332861,220.9219970703125,182.71414184570312,465.79534912109375,354.80535888671875,0.514970064163208,0.25,0.0,1.0,0.25,0.0,0.125,415.61181640625
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.125_seq_blast0.125,3,False,7275,17013,0.9965635738831615,393.8709411621094,294.2779846191406,0.7471431727125605,224.7251434326172,190.57620239257812,450.44488525390625,354.80535888671875,0.5371288657188416,0.25,0.0,1.0,0.25,0.125,0.125,415.79864501953125
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.25_seq_blast0.25,3,False,7275,17253,0.9968384879725086,393.8709411621094,292.8147888183594,0.7434282609283498,224.79925537109375,193.1768798828125,445.9634704589844,354.80535888671875,0.5444587469100952,0.25,0.0,1.0,0.25,0.25,0.25,416.1586151123047
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.5_seq_jaccard_all0_seq_blast0.25,3,False,7275,17773,0.9968384879725086,393.8709411621094,291.9928283691406,0.7413413833161209,226.98220825195312,193.92391967773438,445.0296936035156,354.80535888671875,0.5465642213821411,0.25,0.0,1.0,0.5,0.0,0.25,416.4387664794922
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.125_seq_jaccard_all0.125_seq_blast0.25,2,False,7275,11373,0.9958762886597938,393.8709411621094,318.1690673828125,0.8078003074917388,221.90817260742188,183.53506469726562,466.52557373046875,354.80535888671875,0.5172837972640991,0.25,0.0,1.0,0.125,0.125,0.25,416.7978515625
