measurement,k,seed,leaky,status,mean_xy_error,median_xy_error,p90_xy_error,coverage,median_vs_spatial_best,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error
expression,4,,False,ok,71.39997863769531,58.43609237670898,128.85723876953125,1.0,21.601276799800605,21.601276799800605,4,2.705214738845825
learned_mix,0,,False,ok,36.44480895996094,18.431228637695312,102.17347717285156,1.0,6.813222023756592,,4,2.705214738845825
morphology,24,,False,ok,82.37645721435547,72.06394958496094,142.203369140625,1.0,26.63890172937136,11.352987026879546,4,2.705214738845825
morphology_image,1,,False,ok,35.1114501953125,11.317898750305176,99.14569091796876,0.9748603351955308,4.1837339519797,1.8121982832206456,4,2.705214738845825
morphology_image_all,1,,False,ok,35.1114501953125,11.317898750305176,99.14569091796876,0.9748603351955308,4.1837339519797,1.8121982832206456,4,2.705214738845825
morphology_image_histogram,1,,False,ok,41.64501953125,12.814723014831545,131.16502380371094,0.9581005586592178,4.737044653356769,2.0518666547356808,4,2.705214738845825
morphology_image_summary,1,,False,ok,38.78624725341797,12.240757942199709,122.30818939208984,0.9916201117318436,4.524874778488825,1.9599645674136872,4,2.705214738845825
morphology_image_texture,1,,False,ok,42.86397552490234,13.465609550476074,116.84697723388672,0.9748603351955308,4.977649040985615,2.1560852458796105,4,2.705214738845825
random_neighbors,32,16.0,False,ok,83.61474609375,74.58805847167969,138.2755584716797,1.0,27.571954788144673,9.864162521875869,4,2.705214738845825
random_permutation,0,11.0,False,ok,106.1640167236328,87.05644226074219,205.6650238037109,1.0,32.180972922646674,,4,2.705214738845825
spagcn_adjacency,5,100.0,True,ok,3.0859975814819336,2.2175509929656982,6.347654819488525,0.9972067039106144,0.819731964757745,0.7926589409315419,4,2.705214738845825
spagcn_histology_embedding,1,100.0,True,ok,51.70550155639648,35.97597122192383,124.80121612548828,0.994413407821229,13.29874878519733,5.76039728963009,4,2.705214738845825
spagcn_histology_probabilities,32,100.0,True,ok,69.44062042236328,62.09394836425781,117.66751098632812,1.0,22.953426754857205,8.211834586397888,4,2.705214738845825
spagcn_xy_embedding,1,100.0,True,ok,54.177833557128906,35.92704772949219,129.64645385742188,0.994413407821229,13.28066390205326,5.752563762316427,4,2.705214738845825
spagcn_xy_probabilities,8,100.0,True,ok,68.17945098876953,57.0909423828125,123.5787124633789,1.0,21.104033466552178,18.017387095987786,4,2.705214738845825
spatial,4,,True,ok,3.616849660873413,2.705214738845825,7.53884220123291,0.9972067039106144,1.0,1.0,4,2.705214738845825
