domain,n_cells,center_x,center_y,mean_xy_radius,median_xy_radius,p90_xy_radius
0,370,589.8038800626188,439.72856494800465,296.06273966663883,293.1040316006906,342.4168741389043
1,129,770.8888353451277,399.8756626336149,253.71325331302023,199.2281468398158,453.7851882695029
2,124,384.24468071229995,423.6038609166299,141.4498075743268,96.87421446118915,385.90058445327793
