measurement,k,seed,leaky,status,mean_xy_error,median_xy_error,p90_xy_error,coverage,median_vs_spatial_best,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error
expression,1,,False,ok,39.86155700683594,15.977477073669434,77.81144714355469,1.0,2.23677409242528,1.7966628499804234,2,7.143089294433594
learned_mix,0,,False,ok,24.455677032470703,7.854323387145996,24.391254425048828,1.0,1.0995695368482439,,2,7.143089294433594
morphology,1,,False,ok,130.03167724609375,21.02842903137207,496.4349670410156,0.9722222222222222,2.943884384555983,2.3646409918108007,2,7.143089294433594
morphology_image,1,,False,ok,30.744464874267575,7.829024314880371,24.670175552368164,0.9722222222222222,1.0960277818424176,0.8803716051841302,2,7.143089294433594
morphology_image_all,1,,False,ok,30.744464874267575,7.829024314880371,24.670175552368164,0.9722222222222222,1.0960277818424176,0.8803716051841302,2,7.143089294433594
morphology_image_histogram,1,,False,ok,22.06971549987793,7.829024314880371,15.768720626831056,0.9722222222222222,1.0960277818424176,0.8803716051841302,2,7.143089294433594
morphology_image_summary,1,,False,ok,8.992791175842285,7.8796067237854,14.465985298156738,0.9722222222222222,1.1031090889379969,0.8860595829870809,2,7.143089294433594
morphology_image_texture,1,,False,ok,31.77837562561035,8.342169761657715,23.371368408203125,0.9722222222222222,1.1678658095676517,0.9380746678523166,2,7.143089294433594
random_neighbors,3,1.0,False,ok,169.0006561279297,134.20590209960938,295.7841186523437,1.0,18.788215654001725,18.579717997751292,2,7.143089294433594
random_permutation,0,10.0,False,ok,189.97579956054688,205.36231994628903,407.3020935058594,1.0,28.749790389197855,,2,7.143089294433594
luna_expression_self,0,1.0,True,ok,96.49725341796875,88.50733947753906,112.19338989257812,1.0,12.39062481642366,,2,7.143089294433594
spagcn_adjacency,2,100.0,True,ok,4.200708866119385,3.7535269260406494,8.077692985534668,1.0,0.525476691011782,0.525476691011782,2,7.143089294433594
spagcn_xy_embedding,1,100.0,True,ok,30.642202377319336,8.892863273620605,21.07706451416016,0.9722222222222222,1.2449603955743016,1.0,2,7.143089294433594
spagcn_xy_probabilities,32,100.0,True,ok,171.9353485107422,245.74029541015625,273.08514404296875,1.0,34.40252323342152,1.0664606786215665,2,7.143089294433594
spatial,2,,True,ok,7.502827167510986,7.143089294433594,13.947053909301758,1.0,1.0,1.0,2,7.143089294433594
