dataset,measurement,label,k,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,score
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0.125_morphology_image0.125_seq_jaccard_all1,0,False,632,28044,1.0,304.93798828125,155.82044982910156,0.5109906138863403,224.19384765625,216.80133056640625,374.427734375,299.38970947265625,0.7241442203521729,19968,28044,neighbor_union_v1,1,8,32,5,1.0,0.125,0.125,1.0,404.01519775390625
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0_morphology_image0_seq_jaccard_all1,0,False,632,3602,1.0,304.93798828125,199.46978759765625,0.6541322998880728,214.5907287597656,203.1338806152344,402.6047058105469,299.38970947265625,0.6784932017326355,3211,3602,neighbor_union_v1,1,8,32,5,1.0,0.0,0.0,1.0,404.4362335205078
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0.125_morphology_image0.125_seq_jaccard_all0.125,0,False,632,28044,1.0,304.93798828125,155.25270080566406,0.5091287631322327,229.1542205810547,205.14096069335935,399.3838806152344,299.38970947265625,0.685197114944458,19968,28044,neighbor_union_v1,1,8,32,5,1.0,0.125,0.125,0.125,404.83290100097656
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0.125_morphology_image0.125_seq_jaccard_all0.25,0,False,632,28044,1.0,304.93798828125,152.3175048828125,0.4995032129034944,227.41949462890625,209.54562377929688,392.3523254394531,299.38970947265625,0.6999092102050781,19968,28044,neighbor_union_v1,1,8,32,5,1.0,0.125,0.125,0.25,405.72178649902344
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0.125_morphology_image0_seq_jaccard_all0.5,0,False,632,8567,1.0,304.93798828125,177.1920623779297,0.5810757242043,221.32516479492188,203.42349243164065,404.97406005859375,299.38970947265625,0.6794605255126953,6129,8567,neighbor_union_v1,1,8,32,5,1.0,0.125,0.0,0.5,405.9105224609375
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0_morphology_image0.25_seq_jaccard_all0.25,0,False,632,23565,1.0,304.93798828125,157.30140686035156,0.5158471981367881,222.9100646972656,215.09552001953125,382.3957214355469,299.38970947265625,0.7184466123580933,17440,23565,neighbor_union_v1,1,8,32,5,1.0,0.0,0.25,0.25,406.2933807373047
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0.125_morphology_image0_seq_jaccard_all1,0,False,632,8567,1.0,304.93798828125,175.3419952392578,0.5750086967765282,221.5029144287109,211.40524291992188,390.6815185546875,299.38970947265625,0.7061206102371216,6129,8567,neighbor_union_v1,1,8,32,5,1.0,0.125,0.0,1.0,406.7460021972656
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression0.5_morphology0_morphology_image0.125_seq_jaccard_all1,0,False,632,23565,1.0,304.93798828125,166.46923828125,0.5459117744546551,222.0590362548828,218.2875061035156,377.4048767089844,299.38970947265625,0.7291082739830017,17440,23565,neighbor_union_v1,1,8,32,5,0.5,0.0,0.125,1.0,406.9899444580078
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0_morphology_image0.25_seq_jaccard_all1,0,False,632,23565,1.0,304.93798828125,157.39601135253906,0.5161574398771522,221.2191925048828,222.55392456054688,368.9918823242188,299.38970947265625,0.7433586120605469,17440,23565,neighbor_union_v1,1,8,32,5,1.0,0.0,0.25,1.0,407.04986572265625
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0.125_morphology_image0.125_seq_jaccard_all0,0,False,632,25350,1.0,304.93798828125,161.238525390625,0.5287584085519437,231.9730529785156,200.32473754882807,414.1819763183594,299.38970947265625,0.6691102981567383,17641,25350,neighbor_union_v1,1,8,32,5,1.0,0.125,0.125,0.0,407.41572570800776
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0.125_morphology_image0.25_seq_jaccard_all1,0,False,632,28044,1.0,304.93798828125,144.1009063720703,0.4725580672459981,227.59933471679688,226.775634765625,365.9898681640625,299.38970947265625,0.7574597001075745,19968,28044,neighbor_union_v1,1,8,32,5,1.0,0.125,0.25,1.0,409.77056884765625
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0.25_morphology_image0_seq_jaccard_all1,0,False,632,8567,1.0,304.93798828125,159.37258911132812,0.5226393405741754,229.3332672119141,215.7059783935547,388.4585876464844,299.38970947265625,0.7204856276512146,6129,8567,neighbor_union_v1,1,8,32,5,1.0,0.25,0.0,1.0,409.9352722167969
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0_morphology_image0.25_seq_jaccard_all0.125,0,False,632,23565,1.0,304.93798828125,160.93646240234375,0.5277678366983554,224.21046447753903,213.7987060546875,392.8986511230469,299.38970947265625,0.7141150832176208,17440,23565,neighbor_union_v1,1,8,32,5,1.0,0.0,0.25,0.125,410.24803161621094
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression1_morphology0.125_morphology_image0.25_seq_jaccard_all0.5,0,False,632,28044,1.0,304.93798828125,138.419677734375,0.4539273001522786,230.1715240478516,225.0207672119141,371.276611328125,299.38970947265625,0.7515981793403625,19968,28044,neighbor_union_v1,1,8,32,5,1.0,0.125,0.25,0.5,410.65907287597656
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression0.25_morphology0_morphology_image0.125_seq_jaccard_all1,0,False,632,23565,1.0,304.93798828125,165.2309112548828,0.5418508601902603,225.76319885253903,218.3624267578125,386.4576416015625,299.38970947265625,0.7293584942817688,17440,23565,neighbor_union_v1,1,8,32,5,0.25,0.0,0.125,1.0,411.59124755859375
tiny_human_ovary_nucexp_v4,learned_mix,learned_expression0.5_morphology0_morphology_image0.25_seq_jaccard_all1,0,False,632,23565,1.0,304.93798828125,150.91619873046875,0.4949078321828368,226.5672149658203,226.9912109375,369.61138916015625,299.38970947265625,0.7581797242164612,17440,23565,neighbor_union_v1,1,8,32,5,0.5,0.0,0.25,1.0,411.7969055175781
