dataset,measurement,label,k,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,score
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0,0,False,23,23,1.0,241.06468200683597,241.00900268554688,0.999769027462565,33.30567932128906,9.56922721862793,29.03416633605957,251.21176147460935,0.0380922742187976,16,23,neighbor_union_v1,2,1,1,3,0.0,0.0,1.0,0.0,24.086310386657715
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0,0,False,23,63,1.0,241.06468200683597,231.3208465576172,0.959579995841355,36.55022048950195,10.278807640075684,56.59948348999024,251.21176147460935,0.0409169048070907,41,63,neighbor_union_v1,2,1,1,3,0.125,0.0,1.0,0.0,38.5785493850708
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.125,0,False,23,85,1.0,241.06468200683597,230.4495849609375,0.9559657725157872,36.55061340332031,10.25817584991455,62.581539154052734,251.21176147460935,0.0408347770571708,59,85,neighbor_union_v1,2,1,1,3,0.0,0.0,1.0,0.125,41.54894542694092
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0,0,False,23,63,1.0,241.06468200683597,227.5635681152344,0.9439938120374732,39.99992370605469,9.969304084777832,95.99010467529295,251.21176147460935,0.0396848618984222,41,63,neighbor_union_v1,2,1,1,3,0.25,0.0,1.0,0.0,57.96435642242431
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0.125,0,False,23,90,1.0,241.06468200683597,227.2295684814453,0.9426082933003088,39.99052810668945,10.240062713623049,100.20646667480467,251.21176147460935,0.0407626740634441,60,90,neighbor_union_v1,2,1,1,3,0.125,0.0,1.0,0.125,60.34329605102538
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all0.25,0,False,23,85,1.0,241.06468200683597,226.96774291992188,0.9415221716862104,40.01239013671875,11.290223121643066,104.30726623535156,251.21176147460935,0.0449430532753467,59,85,neighbor_union_v1,2,1,1,3,0.0,0.0,1.0,0.25,63.44385623931885
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0.125_morphology_image1_seq_jaccard_all0,0,False,23,44,1.0,241.06468200683597,210.8383026123047,0.874612991239944,53.268287658691406,38.05428695678711,70.0026626586914,251.21176147460935,0.1514829099178314,30,44,neighbor_union_v1,2,1,1,3,0.0,0.125,1.0,0.0,73.05561828613281
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.125_morphology0.125_morphology_image1_seq_jaccard_all1,0,False,23,107,1.0,241.06468200683597,220.96324157714844,0.916613913484359,52.244911193847656,16.78450584411621,114.6445770263672,251.21176147460935,0.0668141692876815,72,107,neighbor_union_v1,2,1,1,3,0.125,0.125,1.0,1.0,74.1067943572998
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard_all0.125,0,False,23,90,1.0,241.06468200683597,226.1081085205078,0.937956181047276,42.60573959350586,11.49300765991211,126.4551239013672,251.21176147460935,0.0457502752542495,60,90,neighbor_union_v1,2,1,1,3,0.25,0.0,1.0,0.125,74.7205696105957
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0.125_morphology_image1_seq_jaccard_all1,0,False,23,102,1.0,241.06468200683597,219.91961669921875,0.9122846817228184,51.83451461791992,17.142152786254883,116.77890014648438,251.21176147460935,0.0682378560304641,71,102,neighbor_union_v1,2,1,1,3,0.0,0.125,1.0,1.0,75.53160285949707
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard_all1,0,False,23,85,1.0,241.06468200683597,228.1484222412109,0.9464199414941308,49.633766174316406,13.963979721069336,123.1666488647461,251.21176147460935,0.0555864870548248,59,85,neighbor_union_v1,2,1,1,3,0.0,0.0,1.0,1.0,75.54730415344238
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all1,0,False,23,90,1.0,241.06468200683597,228.6451416015625,0.9484804646542074,50.4350471496582,13.742121696472168,123.76178741455078,251.21176147460935,0.0547033362090587,60,90,neighbor_union_v1,2,1,1,3,0.125,0.0,1.0,1.0,75.62301540374756
tiny_mouse_ileum_nucexp_v3,learned_mix,learned_expression0.25_morphology0.125_morphology_image1_seq_jaccard_all1,0,False,23,107,1.0,241.06468200683597,221.91458129882807,0.9205603220323052,52.61922454833984,15.88788890838623,120.00875854492188,251.21176147460935,0.0632450059056282,72,107,neighbor_union_v1,2,1,1,3,0.25,0.125,1.0,1.0,75.89226818084717
