domain,n_cells,center_x,center_y,mean_xy_radius,median_xy_radius,p90_xy_radius
0,243,686.432631943942,441.0727984895431,279.95946323088276,270.2724578067581,389.19452385258023
1,268,410.47340062838884,427.7498750828985,181.73252511801502,130.51196488426893,375.43541000322807
2,121,760.7932739257812,399.0757456377518,264.5611194785797,210.55614692041343,447.66839523415456
