dataset,measurement,label,k,seed,status,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,status_reason,runtime_sec,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,spatial_median_xy_error_same_k,spatial_mean_xy_error_same_k,spatial_p90_xy_error_same_k,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error,median_vs_spatial_best
breast_2fov_v2,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard_all0,0,,ok,False,7275,123574,1.0,393.8709411621094,312.3226013183594,0.7929566989553912,234.8312530517578,151.6866455078125,558.1021118164062,354.80535888671875,0.4275207221508026,,,105416.0,123574.0,neighbor_union_v1,16.0,8.0,1.0,24.0,0.125,0.0,1.0,0.0,,,,,16,2.41890287399292,62.70886158294609
breast_2fov_v2,luna_expression_transfer,luna_expression_transfer,0,,skipped,False,7275,0,0.0,,,,,,,,,compatible transfer training dataset/checkpoint is not configured,,,,,,,,,,,,,,,,,16,2.41890287399292,
breast_2fov_v2,morphology,morphology,1,,ok,False,7275,4941,0.9841924398625428,393.8709411621094,356.3239440917969,0.9046718273769304,456.2408447265625,431.0029296875,794.8117065429688,354.80535888671875,1.2147587537765503,,,,,,,,,,,,,,7.164657115936279,6.741123676300049,11.255999565124512,60.15681179338286,16,2.41890287399292,178.18116399855148
breast_2fov_v2,morphology,morphology,2,,ok,False,7275,9255,0.9885910652920962,393.8709411621094,260.0047607421875,0.6601267917228114,409.9962158203125,389.5884399414063,686.7311401367188,354.80535888671875,1.0980342626571655,,,,,,,,,,,,,,3.091755151748657,3.9346635341644287,8.121748924255371,126.00882696712254,16,2.41890287399292,161.05997645879293
breast_2fov_v2,morphology,morphology,3,,ok,False,7275,13287,0.99106529209622,393.8709411621094,219.8098907470703,0.5580759273545924,395.198486328125,379.1379089355469,652.949951171875,354.80535888671875,1.0685800313949585,,,,,,,,,,,,,,2.952191114425659,3.467186689376831,6.34485387802124,128.42593661464466,16,2.41890287399292,156.73961654760373
breast_2fov_v2,morphology,morphology,4,,ok,False,7275,17344,0.9920274914089348,393.8709411621094,195.1855316162109,0.4955570752194092,384.4772033691406,369.8851013183594,630.7103881835938,354.80535888671875,1.042501449584961,,,,,,,,,,,,,,2.6560733318328857,3.214989423751831,6.024593830108643,139.26012391499427,16,2.41890287399292,152.9144081373488
breast_2fov_v2,morphology,morphology,5,,ok,False,7275,21294,0.9935395189003436,393.8709411621094,180.07122802734375,0.4571833288742924,378.5679321289063,364.11517333984375,615.4072265625,354.80535888671875,1.0262391567230225,,,,,,,,,,,,,,2.5642545223236084,3.1162643432617188,5.839629650115967,141.99650236354054,16,2.41890287399292,150.52905896084752
breast_2fov_v2,morphology,morphology,8,,ok,False,7275,33065,0.9950515463917524,393.8709411621094,151.55250549316406,0.3847770669397722,372.3034973144531,361.47760009765625,597.3177490234375,354.80535888671875,1.0188053846359253,,,,,,,,,,,,,,2.4540281295776367,3.0592029094696045,5.835903644561768,147.2996970739167,16,2.41890287399292,149.43865832072854
breast_2fov_v2,morphology,morphology,12,,ok,False,7275,48584,0.9968384879725086,393.8709411621094,133.31393432617188,0.3384711091730489,368.36810302734375,358.36138916015625,591.4525146484375,354.80535888671875,1.010022521018982,,,,,,,,,,,,,,2.4200215339660645,3.1433322429656982,6.100075721740723,148.0819009791429,16,2.41890287399292,148.1503838013155
breast_2fov_v2,morphology,morphology,16,,ok,False,7275,64144,0.9976632302405498,393.8709411621094,121.61894989013672,0.3087786814922221,365.07659912109375,355.77154541015625,586.2678833007812,354.80535888671875,1.0027230978012085,,,,,,,,,,,,,,2.41890287399292,3.290410280227661,6.449787139892578,147.0797150374536,16,2.41890287399292,147.0797150374536
